날짜,경기선행지수,건설업주가지수,소비자물가지수,생산산업지수,종가,국고채 3년,종가,국내총생산(명목GDP),경제성장률(실질GDP성장률)
2006-08-01,100.2451,206.85,76.645,70.4,"1,231.49",4.77,1352.74,255259.1,5.1
2006-09-01,100.3173,211.78,76.868,75.4,"1,212.94",4.69,1371.41,255259.1,5.1
2006-10-01,100.3657,231.91,76.496,72.8,"1,218.30",4.62,1364.55,266855.7,4.8
2006-11-01,100.3716,259.23,76.125,76.2,"1,200.20",4.72,1432.21,266855.7,4.8
2006-12-01,100.36,248.09,76.348,80.8,"1,194.97",4.82,1434.46,266855.7,4.8
2007-01-01,100.3658,222.52,76.496,71.6,"1,154.07",4.97,1360.23,252586.3,4.9
2007-02-01,100.4276,242.02,77.017,69.2,"1,180.70",4.91,1417.34,252586.3,4.9
2007-03-01,100.5536,242.0,77.464,75.8,"1,169.24",4.79,1452.55,252586.3,4.9
2007-04-01,100.7467,277.73,77.761,74.5,"1,198.09",4.94,1542.24,268345.3,5.9
2007-05-01,100.9783,356.11,77.836,75.8,"1,209.50",5.1,1700.91,268345.3,5.9
2007-06-01,101.2024,339.74,77.836,76.7,"1,187.32",5.24,1743.6,268345.3,5.9
2007-07-01,101.3588,394.95,78.134,75.5,"1,155.38",5.35,1933.27,275865.8,5.5
2007-08-01,101.3917,393.75,78.208,75.6,"1,187.80",5.28,1873.24,275865.8,5.5
2007-09-01,101.2842,404.01,78.655,75.9,"1,163.25",5.39,1946.48,275865.8,5.5
2007-10-01,101.0234,444.31,78.803,80.1,"1,136.10",5.42,2064.85,292862.8,6.8
2007-11-01,100.631,387.76,78.803,80.4,"1,124.60",5.54,1906.0,292862.8,6.8
2007-12-01,100.1497,399.88,79.101,86.3,"1,111.40",5.89,1897.13,292862.8,6.8
2008-01-01,99.62065,296.5,79.472,77.7,"1,113.30",5.44,1624.68,271693.8,5.8
2008-02-01,99.09669,355.16,79.771,73.2,"1,119.44",5.06,1711.62,271693.8,5.8
2008-03-01,98.61138,341.74,80.515,80.5,"1,141.02",5.15,1703.99,271693.8,5.8
2008-04-01,98.17286,337.57,80.962,79.4,"1,109.98",4.98,1825.47,289566.5,4.4
2008-05-01,97.78011,332.0,81.63,79.9,"1,115.46",5.28,1852.02,289566.5,4.4
2008-06-01,97.42741,291.8,82.151,78.9,"1,112.25",5.7,1674.92,289566.5,4.4
2008-07-01,97.13194,257.43,82.747,78.8,"1,113.91",5.96,1594.67,295242.9,4.0
2008-08-01,96.89872,213.19,82.598,76.3,"1,079.59",5.77,1474.24,295242.9,4.0
2008-09-01,96.72361,228.41,82.673,78.8,"1,069.33",5.81,1448.06,295242.9,4.0
2008-10-01,96.64733,153.21,82.598,79.2,"1,060.25",5.09,1113.06,297713.4,-1.7
2008-11-01,96.75647,143.73,82.375,75.5,"1,084.21",4.97,1076.07,297713.4,-1.7
2008-12-01,97.10931,164.62,82.375,80.0,"1,069.08",3.97,1124.47,297713.4,-1.7
2009-01-01,97.70209,172.02,82.45,71.0,"1,066.37",3.44,1162.11,278108.8,-1.8
2009-02-01,98.48251,148.76,83.045,70.6,"1,087.13",3.78,1063.03,278108.8,-1.8
2009-03-01,99.32123,177.41,83.64,78.0,"1,117.42",3.69,1206.26,278108.8,-1.8
2009-04-01,100.1359,202.73,83.862,78.5,"1,144.29",3.76,1369.36,297889.5,-1.2
2009-05-01,100.8607,207.24,83.862,77.4,"1,123.85",3.83,1395.89,297889.5,-1.2
2009-06-01,101.477,196.58,83.788,81.9,"1,118.40",4.09,1390.07,297889.5,-1.2
2009-07-01,101.9849,213.57,84.086,79.5,"1,144.43",4.09,1557.29,309041.3,0.9
2009-08-01,102.3729,219.21,84.384,77.0,"1,118.65",4.42,1591.85,309041.3,0.9
2009-09-01,102.6234,218.95,84.459,85.0,"1,136.87",4.4,1673.14,309041.3,0.9
2009-10-01,102.7341,216.87,84.235,80.3,"1,116.65",4.47,1580.69,320308.2,5.2
2009-11-01,102.7378,217.04,84.384,81.8,"1,136.39",4.32,1555.6,320308.2,5.2
2009-12-01,102.662,226.67,84.682,91.2,"1,150.65",4.24,1682.77,320308.2,5.2
2010-01-01,102.5233,203.51,85.351,79.3,"1,206.25",4.29,1602.43,307737.9,7.3
2010-02-01,102.3542,195.26,85.523,77.6,"1,176.39",4.19,1594.58,307737.9,7.3
2010-03-01,102.1872,202.44,85.696,87.4,"1,141.73",3.94,1692.85,307737.9,7.3
2010-04-01,102.0267,182.2,86.041,84.1,"1,100.91",3.77,1741.56,329481.0,7.9
2010-05-01,101.8667,164.41,86.128,84.9,"1,115.29",3.7,1641.25,329481.0,7.9
2010-06-01,101.6923,179.78,86.041,87.5,"1,110.89",3.75,1698.29,329481.0,7.9
2010-07-01,101.4886,184.57,86.214,84.7,"1,150.99",3.88,1759.33,334833.6,5.8
2010-08-01,101.2683,189.09,86.647,81.6,"1,188.39",3.73,1742.75,334833.6,5.8
2010-09-01,101.0498,207.6,87.337,83.7,"1,143.83",3.48,1872.81,334833.6,5.8
2010-10-01,100.868,218.21,87.337,85.4,"1,143.97",3.24,1882.95,350558.7,6.3
2010-11-01,100.7626,213.58,86.906,86.1,"1,237.24",3.4,1904.63,350558.7,6.3
2010-12-01,100.7363,229.22,87.251,95.0,"1,207.11",3.25,2051.0,350558.7,6.3
2011-01-01,100.7524,246.05,88.288,85.9,"1,174.95",3.71,2069.73,328096.0,5.4
2011-02-01,100.7421,201.12,88.892,77.3,"1,159.61",3.94,1939.3,328096.0,5.4
2011-03-01,100.6533,216.85,89.238,90.8,"1,140.16",3.74,2106.7,328096.0,5.4
2011-04-01,100.4865,226.64,89.325,86.7,"1,184.44",3.74,2192.36,343678.8,3.8
2011-05-01,100.2503,206.51,89.497,87.3,"1,181.82",3.66,2142.47,343678.8,3.8
2011-06-01,99.96149,221.74,89.67,90.2,"1,165.67",3.65,2100.69,343678.8,3.8
2011-07-01,99.64073,229.77,90.102,86.8,"1,119.03",3.77,2133.21,349987.0,3.1
2011-08-01,99.29989,197.06,90.707,84.8,"1,112.01",3.57,1880.11,349987.0,3.1
2011-09-01,98.96748,167.15,90.62,87.8,"1,076.34",3.45,1769.65,349987.0,3.1
2011-10-01,98.67298,184.13,90.448,88.4,"1,107.99",3.47,1909.03,367175.4,2.6
2011-11-01,98.45602,168.46,90.534,88.4,"1,100.53",3.39,1847.51,367175.4,2.6
2011-12-01,98.36227,175.64,90.879,96.6,"1,101.40",3.36,1825.74,367175.4,2.6
2012-01-01,98.38689,191.56,91.242,84.7,"1,092.90",3.37,1955.79,344574.6,2.4
2012-02-01,98.49779,203.14,91.588,84.6,"1,112.45",3.43,2030.25,344574.6,2.4
2012-03-01,98.64041,199.2,91.614,91.5,"1,072.60",3.55,2014.04,344574.6,2.4
2012-04-01,98.77501,177.12,91.605,86.7,"1,054.55",3.5,1981.99,358275.7,2.4
2012-05-01,98.87054,166.55,91.769,89.4,"1,013.85",3.38,1843.47,358275.7,2.4
2012-06-01,98.91999,162.61,91.639,90.3,"1,027.75",3.29,1854.01,358275.7,2.4
2012-07-01,98.92331,152.51,91.432,88.2,"1,011.50",3.01,1881.99,361834.3,2.3
2012-08-01,98.91406,157.2,91.855,84.7,"1,020.30",2.83,1905.12,361834.3,2.3
2012-09-01,98.91472,164.57,92.512,89.0,"1,032.75",2.81,1996.21,361834.3,2.3
2012-10-01,98.92846,148.98,92.339,88.0,"1,064.65",2.78,1912.06,375426.7,2.5
2012-11-01,98.96825,148.67,92.011,90.2,"1,066.01",2.8,1932.9,375426.7,2.5
2012-12-01,99.0484,155.13,92.175,96.6,"1,080.36",2.85,1997.05,375426.7,2.5
2013-01-01,99.1507,157.4,92.728,88.0,"1,049.50",2.75,1961.94,355384.7,2.3
2013-02-01,99.285,154.03,93.038,83.5,"1,057.76",2.7,2026.49,355384.7,2.3
2013-03-01,99.45225,153.49,92.952,91.1,"1,060.83",2.6,2004.89,355384.7,2.3
2013-04-01,99.61071,128.73,92.823,90.1,"1,073.58",2.55,1963.95,373096.5,2.9
2013-05-01,99.73196,145.95,92.823,90.9,"1,109.42",2.59,2001.05,373096.5,2.9
2013-06-01,99.79426,131.81,92.71,91.0,"1,123.25",2.87,1863.32,373096.5,2.9
2013-07-01,99.78669,133.55,92.909,89.7,"1,141.45",2.91,1914.03,379887.2,3.5
2013-08-01,99.73969,130.57,93.238,87.4,"1,130.51",2.94,1926.36,379887.2,3.5
2013-09-01,99.66779,140.61,93.419,88.1,"1,101.16",2.9,1996.96,379887.2,3.5
2013-10-01,99.60166,137.23,93.134,91.9,"1,111.05",2.83,2030.09,392450.8,3.9
2013-11-01,99.56415,134.82,93.116,91.6,"1,083.90",2.94,2044.87,392450.8,3.9
2013-12-01,99.56415,129.71,93.229,98.7,"1,087.31",2.94,2011.34,392450.8,3.9
2014-01-01,99.57964,126.42,93.73,89.0,"1,063.24",2.89,1941.15,373559.7,3.8
2014-02-01,99.59058,138.16,93.98,85.0,"1,081.50",2.85,1979.99,373559.7,3.8
2014-03-01,99.58583,137.82,94.153,93.7,"1,089.92",2.87,1985.61,373559.7,3.8
