날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2008년 02월,동(호),6953,155,59,123,185,136,217,221,302,157,439,1037,199,215,271,206,517,332,147,281,240,213,218,243,531,309
,면적,517,15,4,12,14,13,16,15,23,17,29,65,15,17,19,15,35,22,10,22,19,16,21,19,42,23
2008년 03월,동(호),10746,289,81,154,287,203,369,415,450,162,750,1918,256,299,475,358,1022,508,162,334,284,271,262,428,541,468
,면적,776,26,6,15,22,18,28,28,33,12,50,123,20,22,29,26,69,35,11,26,23,19,24,34,43,34
2008년 04월,동(호),13590,126,127,167,328,207,713,965,913,321,1410,1589,313,380,547,476,952,665,299,418,352,337,358,479,607,541
,면적,999,10,11,16,25,16,56,73,70,24,102,102,24,28,40,35,62,42,22,32,28,24,32,38,48,38
2008년 05월,동(호),10041,110,130,116,434,209,397,474,509,211,228,497,343,306,432,565,814,627,207,469,333,407,376,449,822,576
,면적,748,9,10,11,34,18,32,36,37,16,12,27,27,24,31,41,56,45,16,35,26,32,34,31,66,43
2008년 06월,동(호),9417,84,95,125,338,170,290,249,962,175,346,504,301,307,350,452,681,566,179,680,315,461,248,348,729,462
,면적,719,8,8,13,25,13,22,18,75,13,25,31,24,24,26,33,47,41,14,56,26,39,23,24,56,35
2008년 07월,동(호),7866,221,111,98,229,135,191,159,695,116,216,541,378,263,207,386,708,462,126,672,244,367,240,270,478,353
,면적,610,19,8,10,17,11,15,11,55,9,15,38,30,22,14,28,46,33,9,66,20,28,22,20,39,25
2008년 08월,동(호),5159,61,43,52,119,72,184,99,260,130,124,232,562,141,140,241,370,347,43,412,123,134,167,165,703,235
,면적,389,5,3,6,9,6,14,7,20,10,8,14,49,11,11,18,25,26,3,36,10,10,16,12,43,16
2008년 09월,동(호),4865,54,34,44,92,53,81,81,161,59,106,172,825,165,96,170,385,196,40,192,123,122,147,152,1081,234
,면적,369,4,2,5,7,5,6,5,13,4,8,11,77,14,7,11,27,14,3,15,10,10,15,13,64,18
2008년 10월,동(호),4871,43,32,37,57,72,117,67,104,42,76,180,543,142,192,115,169,173,34,174,101,88,136,154,1798,225
,면적,367,4,2,4,5,8,9,4,7,3,5,11,54,13,16,8,12,13,3,14,9,6,14,13,116,15
2008년 11월,동(호),3087,99,19,84,52,71,47,39,114,26,50,115,219,92,104,124,262,115,15,168,90,55,135,125,701,166
,면적,257,7,2,9,4,8,3,3,9,2,4,7,23,8,8,8,20,10,1,14,8,4,13,10,59,12
2008년 12월,동(호),4343,120,24,186,55,73,318,25,250,30,50,110,978,80,188,187,150,103,24,137,108,55,127,318,464,183
,면적,365,9,2,16,5,8,19,2,20,2,4,7,106,7,14,13,11,8,2,11,9,4,12,21,41,13
2009년 01월,동(호),4358,43,23,126,63,117,288,52,310,28,62,142,215,149,143,232,88,70,31,96,104,32,317,730,664,233
,면적,348,4,2,13,5,14,15,4,25,2,4,9,20,13,9,18,7,6,2,8,9,3,30,49,56,19
2009년 02월,동(호),6242,49,45,179,142,152,209,59,387,51,127,317,482,116,175,568,187,110,51,161,112,96,432,655,722,658
,면적,516,4,4,19,12,16,13,5,31,4,10,20,41,10,12,50,14,8,3,14,10,8,41,52,61,53
2009년 03월,동(호),7721,49,310,240,226,172,285,98,379,77,186,467,633,111,201,628,298,210,72,237,191,116,583,602,612,738
,면적,628,4,23,25,18,15,20,7,30,6,13,29,57,8,17,59,22,15,4,20,16,9,55,50,48,57
2009년 04월,동(호),9802,54,335,221,306,167,347,171,491,89,236,489,610,144,224,603,340,288,75,255,223,145,827,1068,924,1170
,면적,801,6,24,21,25,14,27,13,40,7,16,31,51,11,18,55,25,21,5,21,19,11,78,90,81,91
2009년 05월,동(호),9985,62,120,211,447,230,231,194,450,118,278,700,455,171,345,618,445,350,81,413,257,281,675,776,731,1346
,면적,812,5,10,20,37,21,18,14,35,9,20,45,40,13,27,51,33,26,6,35,21,21,67,66,64,107
2009년 06월,동(호),10927,106,202,183,480,218,233,191,525,136,346,821,331,309,300,522,628,679,70,413,279,243,1018,880,857,957
,면적,876,11,16,18,40,19,19,14,42,10,24,52,29,23,24,42,46,49,5,36,24,20,95,71,73,76
2009년 07월,동(호),11390,81,142,186,480,264,254,245,455,261,452,1077,366,282,466,561,540,541,108,379,325,215,792,989,970,959
,면적,897,7,11,19,41,23,20,17,36,20,31,69,32,21,37,44,37,41,9,30,27,16,77,82,78,73
2009년 08월,동(호),10714,55,210,178,374,240,230,249,437,331,417,916,305,358,454,519,510,414,147,471,417,256,882,743,688,913
,면적,828,4,17,16,31,20,18,17,35,26,28,58,26,28,37,40,36,31,9,36,34,19,81,56,54,69
2009년 09월,동(호),11388,85,168,212,387,250,311,268,495,197,373,1021,353,424,392,575,576,535,152,469,377,299,960,840,780,889
,면적,891,7,13,20,31,20,25,19,38,15,25,67,29,31,33,44,39,39,11,35,31,22,94,71,67,65
2009년 10월,동(호),9564,66,147,158,384,329,264,307,552,181,390,835,499,352,384,564,501,597,158,416,347,269,383,401,393,687
,면적,751,5,11,15,30,29,21,23,43,14,27,55,44,28,32,44,35,44,11,32,29,20,38,37,33,52
2009년 11월,동(호),6082,69,119,104,236,231,159,218,308,102,242,515,386,152,246,316,307,401,88,296,170,214,263,320,290,330
,면적,488,5,8,10,18,22,12,15,23,8,18,35,39,12,20,25,22,30,6,23,14,17,25,30,23,27
2009년 12월,동(호),6279,110,224,125,205,151,180,138,249,79,243,504,311,254,217,256,278,308,72,283,286,143,397,485,398,383
,면적,499,5,20,13,16,13,14,10,19,6,18,35,29,21,17,20,17,23,5,23,22,11,38,44,33,28
2010년 01월,동(호),5492,32,147,109,145,81,126,113,192,55,142,536,546,234,158,319,176,234,49,257,140,127,401,482,402,289
,면적,448,3,16,11,11,7,10,8,15,4,10,39,49,19,13,26,12,17,4,19,11,10,37,41,34,21
2010년 02월,동(호),6809,57,220,109,214,112,224,267,209,63,192,719,699,196,211,335,214,263,63,258,241,182,472,457,446,386
,면적,555,4,24,10,19,9,18,20,16,5,13,54,67,16,16,27,15,19,5,20,19,13,46,37,36,28
2010년 03월,동(호),7484,56,191,148,246,205,357,329,264,63,191,537,1031,173,196,377,269,280,71,322,263,204,495,407,376,433
,면적,608,4,23,13,20,16,28,26,20,5,13,37,97,13,15,31,20,20,5,27,22,14,45,33,30,32
2010년 04월,동(호),5586,57,126,144,163,111,242,206,320,88,174,372,487,137,175,329,223,240,70,248,349,202,343,287,214,279
,면적,462,4,12,13,13,11,19,17,25,7,12,24,48,11,14,31,17,17,5,24,28,17,33,24,18,21
2010년 05월,동(호),4033,41,116,145,145,84,130,119,232,123,125,311,263,157,147,173,217,183,41,178,188,90,176,268,205,176
,면적,322,3,10,14,12,7,10,9,19,9,8,20,25,14,11,14,16,12,3,17,15,7,16,21,16,13
