날짜,국고채 3년
201603월,1.5
201604월,1.47
201605월,1.46
201606월,1.33
201607월,1.22
201608월,1.24
201609월,1.31
201610월,1.36
201611월,1.61
201612월,1.69
201701월,1.64
201702월,1.67
201703월,1.71
201704월,1.68
201705월,1.7
201706월,1.67
201707월,1.74
201708월,1.78
201709월,1.79
201710월,2.03
201711월,2.15
201712월,2.1
201801월,2.19
201802월,2.28
201803월,2.27
201804월,2.19
201805월,2.25
201806월,2.18
201807월,2.1
201808월,2.02
201809월,1.95
201810월,2.01
201811월,1.94
201812월,1.83
201901월,1.81
201902월,1.8
201903월,1.79
201904월,1.74
201905월,1.68
201906월,1.5
201907월,1.38
201908월,1.16
201909월,1.29
201910월,1.36
201911월,1.49
201912월,1.39
202001월,1.37
202002월,1.25
202003월,1.09
202004월,1.02
202005월,0.88
202006월,0.85
202007월,0.83
202008월,0.83
202009월,0.91
202010월,0.91
202011월,0.97
202012월,0.97
202101월,0.98
202102월,1
202103월,1.13
202104월,1.14
202105월,1.13
202106월,1.3
202107월,1.42
202108월,1.41
202109월,1.52
202110월,1.84
202111월,1.95
202112월,1.8
202201월,2.06
202202월,2.29
202203월,2.37
202204월,2.94
202205월,3.02
202206월,3.48
202207월,3.24
202208월,3.25
202209월,3.9
202210월,4.24
202211월,3.9
202212월,3.63
202301월,3.46
202302월,3.47
202303월,3.46
202304월,3.26
202305월,3.33
202306월,3.55
202307월,3.64
202308월,3.73
202309월,3.84
202310월,4.03
202311월,3.77
202312월,3.35
