날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2008-06-01,23.22161252207062,23.087502073204128,45.290098077645716,38.81711022011713,33.68283188865918,27.239988380030212,30.74224248673991,25.945975560612283,29.686257952120997,30.044238138551236,41.90443091926214,30.91685061579801,27.971873116684325,36.86262276984313,41.72422739736723,36.43872211368379,30.381128496769715,35.08613385010457,40.80886227366896,37.93921500342993,31.302308643121517,44.623675811692436,45.227138348892545,45.00409688516751,42.594604895625594
2008-07-01,24.15989871809955,23.18281369625206,45.51088451171735,38.912194563029665,33.76351378890548,27.73628821021451,31.195183126096925,26.592766867931616,30.205032070427574,30.31235920962446,42.24938204063026,31.51842507053857,28.44812782752704,37.13702539960913,41.73031021644887,36.65713050140544,30.713780292525023,35.726916518754585,40.98167981124322,37.96680345105744,31.488524456215107,44.50579854170104,45.0204541769607,44.860458838221994,42.39501237018564
2008-08-01,24.56669155696236,23.22684950145074,45.57524683330153,38.92662063566378,33.805882087888484,27.877076007586176,31.30875720893601,26.803920479475273,30.389226670672947,30.448643492599377,42.26450970428376,31.76527200494947,28.668639514049378,37.277767513750206,41.44513815498143,36.70727019656071,30.90334250495703,35.99144806811665,40.996382205690345,38.000338651851315,31.583742503641588,44.42771549074626,44.82259571075759,44.637168269067544,42.194682498588215
2008-09-01,24.76878691236502,23.245149522845754,45.701134683628865,38.94215972821098,33.81563026935132,28.124326215018147,31.465801495772418,26.92697591962782,30.46060930316087,30.54504194538615,42.25214397425307,32.143558563487524,28.733180970284884,37.40582957145429,41.271649715825234,36.90808599283003,31.101719302910237,36.369198158539284,40.977462220719026,38.057188855849475,31.60822707897734,44.262239607912726,44.665885504557984,44.41450548435426,41.96820427566203
2008-10-01,24.817048622172997,23.17695649353677,45.74358322132238,38.93691377044093,33.71603523180413,28.190339330650293,31.440417976536605,26.86194036525631,30.458943115736275,30.465325391645948,42.18517899798193,32.30942843236752,28.71473808404257,36.94601344968418,40.73164160184298,36.90527476013441,31.15463786982731,36.860247093367256,41.02274812285477,38.04744850458678,31.726617868751923,43.79921378717041,44.111961795518404,43.875717749291496,41.154747592638984
2008-11-01,24.801771763293992,22.924334692940164,45.3401762494522,38.89518821690163,33.17767129919508,28.200380117799785,31.39612181250057,26.67380365516593,30.396910242919024,30.06835502219288,41.84171207692012,32.102178862375894,28.506628791643635,36.55480781298061,39.510481598664406,36.60943253207354,31.021575595119078,36.885012856284646,40.94444372749306,38.02945399373626,31.72978423833317,42.776181152991796,42.88597624180775,42.46759858313543,40.02828678177161
2008-12-01,24.590309479740345,22.507137618509834,44.23992470875541,38.49883011344473,31.209951494709404,28.011895230969426,31.193853980519172,26.295612653193157,29.511517248009262,29.311092958251063,40.91334175122622,31.891375508782467,28.348091002374442,35.572443636189575,38.238997218811676,36.13576042436254,30.720663780736114,36.764094043649095,40.60780872502723,37.1705832135442,31.07245284214828,41.25102301164244,40.616850680350325,40.92848312935929,37.91099656691658
2009-01-01,24.606350169077093,22.071513222680757,43.8433441115032,38.33289790016,30.585131528593706,27.86062910828849,31.16902293952739,25.74789491952163,29.180703691045196,29.030698177612933,40.42392518964858,31.806825332888778,28.40384467552257,35.02346851758514,37.5138357884138,35.69698378918521,30.31525346624481,36.64652112924237,40.33981104424426,36.3514486859212,30.817879356603605,40.26131546703401,39.89143576266351,39.50195590845965,38.196207505584354
2009-02-01,24.492512933252538,22.09687084615375,43.75108086439885,38.210154170090064,30.415544198054356,27.71814537435627,31.004756551374758,25.177615053058766,28.89326751741621,28.65562090643317,39.652425599306206,31.790278174061616,28.327903072186285,35.02009206030447,38.10296040172418,35.63086106466437,29.993578151925536,36.378405691389055,40.3581939379268,35.97132124834577,30.75149627279784,40.01887607515065,40.480159947798995,40.54060585088043,38.75257801856497
2009-03-01,24.61041064349001,22.17196989397669,43.53271985080765,38.15237623503406,30.345912385936852,27.667257634304114,30.84030343058066,24.87352028612121,28.47066947350828,27.481077045048792,39.411846739109556,31.566347743704227,28.301807134947477,34.94988279241893,38.25418278636368,35.60514424692983,29.599372575314202,35.849051718244326,40.141147043632046,35.58308832541114,30.478432573943255,39.963024375085446,40.445457157343874,40.21958534934229,38.96061956442154
