,날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,종로구_label,중구_label,용산구_label,성동구_label,광진구_label,동대문구_label,중랑구_label,성북구_label,강북구_label,도봉구_label,노원구_label,은평구_label,서대문구_label,마포구_label,양천구_label,강서구_label,구로구_label,금천구_label,영등포구_label,동작구_label,관악구_label,서초구_label,강남구_label,송파구_label,강동구_label
87,2010-06-01,26.758682831264316,23.69205900752886,44.55194550742435,37.947478785889935,31.461907709595405,28.38795375089519,30.954763063737712,24.599873200243564,27.980875607900053,27.73224841128358,39.83530566520778,30.2605695595788,28.42009770023767,37.75166073436585,41.10189626132348,35.36445527437984,30.047223323891306,36.806563031575,41.99616062614447,36.15532852868377,30.265039803009454,44.25810567084199,43.2608957943995,43.0902510846325,42.91805078028864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
88,2010-07-01,26.6012077124524,23.494883674391858,44.2894922660286,37.77780934953661,31.342154009274896,28.189424052277744,30.95040705042418,24.30195044400472,27.590199600934785,27.0000619714514,39.48474968016903,29.561948371637666,28.263174713398907,37.01825144944538,40.35467830529247,34.779366305263686,29.563361706697933,36.46665641138042,41.38651660142049,36.09366260075048,30.030356545381466,44.13634248632711,43.08359116308254,42.87666496200956,42.64985121658913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
89,2010-08-01,26.269900759315064,23.29284271532238,43.93130496008025,37.71016946771359,31.180982098174592,28.05907198269548,30.799027837108827,23.94796803879013,27.49524921112141,26.117991579174067,39.17705272133736,29.117850635856666,27.81909301434985,36.90823512405043,39.73419312952881,34.476641717354426,29.373945429966884,36.11043983391277,41.07296976840066,36.01671305671027,29.83764679919006,44.04383579592747,42.71182909586595,42.45419204827292,42.29637099460107,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
90,2010-09-01,26.257342495600728,23.12985915189897,43.69901114064992,37.66427266173816,31.098385647445177,27.97986955785402,30.74736588981848,23.808896458595843,27.457983920929323,25.846092153581413,38.693106955531945,28.599521354791456,27.765115896614954,36.71411670756412,39.64923161406118,34.18658958007057,29.190752463057613,35.86871847745574,40.87918965616682,35.887542904253266,29.75318371959384,43.94354788121086,42.589379431804495,42.22065974230704,42.18129409831708,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
91,2010-10-01,26.20932979455109,23.05657255729314,43.52514091661075,37.47451034476289,30.96639344032297,27.91377643282168,30.674912176497475,23.637856258070688,27.148722218120124,25.598153530602666,38.37567866328124,28.32573778826633,27.65828128915764,36.60985409779156,39.51457327853576,33.872826744324,28.97006754660299,35.70435523414563,40.72505412024212,35.75398053588347,29.69026322126753,43.85451852654397,42.491352612310855,42.086730490224646,42.02195369180268,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,-1,0,0,0
92,2010-11-01,26.154760100505364,23.009333546247365,43.14441436252103,37.25128600796484,30.649596432426467,27.81649025417441,30.689806476841337,23.585382574697427,26.790534030564334,25.43877505100984,38.25509409715512,28.166480164129325,27.46836598321355,36.601920472423245,39.38387629276176,33.771539060059766,28.630988829751157,35.13955355731952,40.57956388557146,35.43684377637583,29.57518079356246,43.79736747814599,42.33204961763784,41.99815555138706,42.198300167141866,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,-1,0,0,0
93,2010-12-01,26.059743621268503,23.057826965417185,43.15002844499756,37.18029325429223,30.60105201801929,27.796183243673127,30.721474590667995,23.56405535858813,26.631863952941902,25.176819454581544,38.16279310870079,28.12126908910756,27.478294673984067,36.63244067359562,39.40295160094248,33.702184113846805,28.514786472485547,34.52678614362708,40.51420089796439,35.391022214519005,29.406938169391584,43.911600184421616,42.42437930600923,42.10071305894986,42.35026724859736,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
94,2011-01-01,26.003601940047343,23.056317955516267,43.156165152804526,37.1898747025488,30.7294564629758,27.748316434342986,30.73474519145718,23.52038855478805,26.574849930818612,25.14313876929252,38.11274089673439,28.10776700564124,27.50837560730265,36.66773814817192,39.50842435630682,33.63639875531772,28.52221606380392,34.59291738351269,40.46254700024789,35.40654690167333,29.360740690264887,44.097449527003405,42.55267176193732,42.28631153806547,42.4382372942377,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
95,2011-02-01,25.970734004432888,23.084079819525517,43.14980627835265,37.13778528103535,30.88267731987151,27.71487975857927,30.7418683616776,23.53560124676122,26.51903266853621,25.203301245228964,38.0724533437889,28.09590247887165,27.46170243606442,36.91165031528553,39.63093706158797,33.519072250358825,28.5936070775833,34.548127382564616,40.54112949334439,35.47346259040992,29.448124037762877,44.505504986804176,42.77964383246322,42.52808441073243,42.62654526674244,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,2011-03-01,26.23251137372471,23.08818418853937,43.182938940914994,37.0319994981633,30.82681701983959,27.7370681453033,30.703481946091493,23.429140301515226,26.36349847923495,25.075264595900336,37.93396505751582,28.020093425557803,27.513326479062076,36.84315369439398,39.64206868975027,33.4196151342722,28.65430722705672,34.41345033350035,40.52695300084535,35.38953267174976,29.427146571534003,44.50162328585324,42.76713703778229,42.4271944818732,42.74752875169394,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
