날짜,종가
2005-08-01,"1,038.50"
2005-07-01,"1,023.30"
2005-06-01,"1,035.50"
2005-05-01,"1,007.50"
2005-04-01,997.1
2005-03-01,"1,017.50"
2005-02-01,"1,004.50"
2005-01-01,"1,026.50"
2004-12-01,"1,035.20"
2004-11-01,"1,048.50"
2004-10-01,"1,119.50"
2004-09-01,"1,151.50"
2004-08-01,"1,151.85"
2004-07-01,"1,166.50"
2004-06-01,"1,154.50"
2004-05-01,"1,160.05"
2004-04-01,"1,173.35"
2004-03-01,"1,143.00"
2004-02-01,"1,178.50"
2004-01-01,"1,171.50"
2003-12-01,"1,192.50"
2003-11-01,"1,202.05"
2003-10-01,"1,183.50"
2003-09-01,"1,149.00"
2003-08-01,"1,174.50"
2003-07-01,"1,180.50"
2003-06-01,"1,195.00"
2003-05-01,"1,209.00"
2003-04-01,"1,214.50"
2003-03-01,"1,251.00"
2003-02-01,"1,193.65"
2003-01-01,"1,164.00"
