날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
,면적,658,7,8,11,24,15,25,18,35,10,21,53,17,20,24,31,45,33,9,31,29,23,44,48,38,40
2015년 03월,동(호),13602,102,144,243,491,241,458,425,786,254,554,1223,416,359,492,517,1057,683,274,517,644,429,749,834,791,919
,면적,1034,7,11,23,40,20,36,31,61,18,38,78,31,27,38,41,76,49,16,38,47,32,72,70,65,68
2015년 04월,동(호),14234,111,164,255,548,280,537,500,787,321,593,1327,432,355,541,654,904,761,210,683,575,434,688,879,836,859
,면적,1097,8,13,22,44,23,43,36,62,23,41,86,33,27,44,51,66,57,14,52,47,32,67,75,67,63
2015년 05월,동(호),12903,73,202,270,570,255,488,439,658,274,517,1180,369,390,501,609,925,611,203,536,540,404,599,847,773,670
,면적,1007,6,18,25,41,20,38,31,52,20,37,76,30,31,41,49,71,45,14,40,46,30,59,70,64,50
2015년 06월,동(호),11762,72,165,214,472,202,477,353,634,268,478,1054,365,331,440,603,780,571,198,552,433,469,599,780,737,515
,면적,913,6,15,19,38,18,36,26,48,20,33,68,28,26,35,49,58,41,14,43,37,35,56,66,59,39
2015년 07월,동(호),12414,80,175,244,406,202,465,408,656,284,566,1218,356,329,499,704,956,640,171,543,473,432,551,762,762,532
,면적,966,7,15,22,34,16,36,29,53,20,39,77,27,26,40,56,70,47,12,42,40,34,54,66,63,40
2015년 08월,동(호),10799,64,178,206,370,181,369,398,595,224,426,1021,365,323,392,570,787,541,196,455,393,434,491,665,664,491
,면적,943,5,16,19,30,15,27,28,50,17,30,66,28,25,31,45,56,42,14,37,33,34,46,157,55,37
2015년 09월,동(호),9357,60,186,159,321,155,339,297,528,211,420,924,255,285,311,479,736,510,197,473,369,291,379,448,578,446
,면적,733,5,19,15,26,13,26,21,43,15,30,58,20,23,25,39,54,37,15,38,31,22,38,39,46,35
2015년 10월,동(호),11852,90,173,191,422,173,413,356,578,251,521,1304,326,326,413,615,931,565,213,507,707,390,507,656,714,510
,면적,912,8,17,18,35,15,31,25,47,18,36,84,25,25,33,49,70,41,16,40,42,30,52,57,60,38
2015년 11월,동(호),10334,75,168,168,361,211,368,358,462,244,418,1032,271,271,426,536,664,524,175,494,438,297,471,683,746,473
,면적,812,7,16,15,30,18,29,23,38,18,29,67,21,20,36,43,49,39,13,39,33,22,47,59,63,36
2015년 12월,동(호),8614,65,146,166,302,165,298,248,356,170,329,768,280,219,330,556,491,415,114,347,297,253,492,653,725,429
,면적,703,5,15,16,25,15,24,17,30,13,23,51,22,18,29,46,37,30,9,29,25,19,51,61,60,34
2016년 01월,동(호),5549,61,119,131,158,150,212,171,260,84,239,541,230,191,211,309,289,261,98,236,205,188,287,346,329,243
,면적,448,4,11,13,13,13,17,12,22,6,17,37,19,15,18,26,21,19,7,19,17,14,30,31,28,18
2016년 02월,동(호),5193,37,86,120,163,81,198,175,238,90,200,525,232,198,222,266,262,284,96,243,200,167,249,280,313,268
,면적,410,3,8,11,13,6,18,12,19,7,14,34,18,16,19,21,19,21,7,19,16,12,26,24,26,19
2016년 03월,동(호),7231,88,112,127,253,197,259,243,344,140,360,709,269,408,299,350,383,397,106,327,290,221,288,400,350,311
,면적,553,10,11,12,20,12,20,17,27,10,25,45,21,34,24,27,26,29,8,24,22,17,28,33,29,21
2016년 04월,동(호),8629,49,108,138,331,165,312,247,401,149,358,823,339,368,303,391,633,444,165,390,359,275,358,570,470,483
,면적,654,5,9,12,26,14,23,17,34,11,24,52,24,30,25,31,44,32,12,30,30,19,34,44,39,34
2016년 05월,동(호),10710,65,158,269,331,219,371,280,449,163,404,893,391,351,436,484,838,604,154,463,414,342,551,836,740,504
,면적,842,5,14,28,28,18,29,20,36,12,28,56,32,29,35,38,58,45,12,36,34,26,54,72,61,37
2016년 06월,동(호),11974,108,172,303,410,204,378,330,535,211,453,1038,369,344,513,728,918,594,178,502,417,268,580,890,994,537
,면적,945,9,16,31,33,17,30,25,44,15,31,62,31,27,43,59,65,42,12,40,35,20,58,79,81,40
2016년 07월,동(호),14545,83,148,1360,541,271,437,334,527,211,573,1405,417,323,520,883,956,681,203,560,575,392,590,901,1010,644
,면적,1209,6,13,175,44,22,34,24,42,15,39,87,33,26,43,70,72,49,15,46,49,29,59,81,86,48
2016년 08월,동(호),12784,90,158,275,509,246,489,309,637,228,511,1294,448,371,474,591,944,652,185,515,600,381,606,694,889,688
,면적,1024,7,15,28,41,21,39,22,52,18,36,83,37,30,39,49,74,48,14,41,51,29,62,63,74,52
2016년 09월,동(호),11342,93,143,256,409,199,412,358,579,219,495,1163,317,329,440,559,768,542,151,469,509,361,486,664,742,679
,면적,907,7,13,25,34,18,33,26,48,17,34,75,26,27,35,45,59,40,12,39,43,25,50,58,64,53
2016년 10월,동(호),13467,90,192,298,502,278,470,383,680,231,557,1334,435,404,525,652,738,697,217,557,598,327,628,778,994,902
,면적,1089,8,18,31,41,24,37,28,55,18,38,87,34,33,45,55,57,52,17,46,52,25,62,71,86,73
2016년 11월,동(호),11528,188,131,259,423,251,492,335,591,233,516,1141,372,311,452,588,636,553,180,459,497,336,466,677,805,636
,면적,934,8,12,27,35,22,39,24,50,18,38,77,32,26,37,50,49,40,14,37,43,26,48,61,68,52
2016년 12월,동(호),9654,81,100,162,289,183,274,522,383,121,327,830,209,213,626,564,429,825,139,298,291,252,285,520,554,1177
,면적,863,7,9,16,25,16,21,49,32,9,23,59,17,17,61,54,36,81,11,24,24,18,30,51,50,122
2017년 01월,동(호),4627,52,71,80,179,105,171,146,261,84,212,497,160,160,205,196,239,231,83,196,183,145,215,258,291,207
,면적,367,4,6,8,15,9,13,11,22,6,14,34,13,13,16,17,17,16,6,15,15,10,23,24,23,16
2017년 02월,동(호),4760,63,48,102,188,94,192,190,226,103,217,433,170,151,188,205,216,261,97,190,172,185,226,267,335,241
,면적,374,5,4,10,16,8,15,13,19,8,15,29,13,12,14,17,16,19,7,14,14,13,24,24,27,19
2017년 03월,동(호),6802,71,80,165,278,115,272,241,315,111,275,628,201,202,287,290,323,351,113,314,269,262,321,428,512,378
,면적,524,5,6,16,22,10,21,17,25,8,19,40,16,15,23,23,22,25,8,23,22,17,31,38,42,29
2017년 04월,동(호),7858,62,67,192,260,176,288,213,287,119,346,796,231,213,349,319,432,381,146,372,326,294,350,510,589,540
,면적,615,5,5,19,21,15,23,15,23,9,24,50,17,16,28,26,31,27,11,29,27,22,35,46,48,42
2017년 05월,동(호),10586,64,120,321,499,231,377,339,375,142,406,965,270,239,421,400,572,530,176,432,415,354,659,668,920,691
,면적,833,5,10,30,41,19,29,24,29,11,28,60,22,18,33,32,40,39,13,34,34,27,64,58,76,54
2017년 06월,동(호),14918,95,168,428,698,385,443,405,590,179,556,1598,341,332,593,686,851,722,208,620,588,436,742,1082,1119,1053
,면적,1173,8,14,39,56,31,34,29,48,14,38,100,28,26,46,56,62,54,15,49,50,33,73,90,96,83
2017년 07월,동(호),15168,115,177,372,682,332,525,388,744,283,650,1684,362,537,521,649,957,690,207,562,553,455,684,1064,1110,865
,면적,1206,10,16,36,58,28,43,28,55,21,45,108,29,36,42,53,70,51,15,45,48,35,70,97,98,71
2017년 08월,동(호),15421,105,186,333,652,293,647,413,829,308,605,1725,373,457,513,636,962,622,189,550,615,456,780,1129,1067,976
,면적,1246,9,16,34,55,26,50,30,64,23,43,115,30,36,41,52,70,47,14,45,54,36,79,104,92,79
2017년 09월,동(호),8652,69,98,209,294,230,346,302,452,182,382,817,260,288,336,370,476,445,142,432,342,294,402,505,613,366
,면적,705,6,8,25,24,20,26,22,36,14,29,56,21,22,28,30,37,34,10,36,29,21,41,47,54,29
2017년 10월,동(호),3942,46,71,75,119,94,170,173,232,78,167,348,140,149,127,167,186,204,69,191,134,136,184,224,260,198
,면적,306,3,6,8,10,8,12,12,18,6,12,23,11,12,9,14,13,14,5,15,11,9,19,19,23,16
2017년 11월,동(호),6679,48,72,132,261,172,287,200,367,153,222,454,180,222,255,381,375,329,108,275,284,209,363,467,533,330
,면적,530,4,6,14,21,15,23,14,29,11,16,30,14,17,21,30,28,23,8,21,23,15,36,42,44,25
2017년 12월,동(호),8484,69,94,175,362,212,289,268,390,133,276,621,206,267,359,556,438,336,94,394,365,241,444,755,694,446
,면적,689,6,8,16,29,18,23,20,30,10,19,40,16,20,29,46,33,26,7,31,31,18,46,72,61,36
2018년 01월,동(호),9938,102,174,312,497,224,356,280,543,150,269,683,251,320,418,525,479,372,112,494,395,272,551,777,859,523
,면적,817,9,14,29,41,20,29,20,44,12,19,46,19,25,35,44,36,27,8,40,33,20,55,76,76,42
2018년 02월,동(호),11986,92,209,805,494,248,441,361,604,217,355,958,291,426,493,527,676,466,107,482,483,331,554,816,926,624
,면적,958,8,17,54,41,22,35,27,49,13,25,64,22,33,40,44,50,35,8,39,41,24,58,80,82,49
2018년 03월,동(호),14609,114,259,609,612,254,549,421,1066,286,572,1363,544,460,537,550,951,662,180,652,483,555,589,844,834,663
,면적,1164,10,21,47,44,24,45,31,82,22,42,88,41,37,45,46,71,48,14,54,41,42,61,81,75,53
2018년 04월,동(호),6535,245,114,115,167,114,233,253,485,198,301,570,331,238,195,287,510,372,114,292,230,258,179,195,279,260
,면적,513,12,8,12,14,10,18,19,40,14,22,39,25,19,16,23,40,28,8,23,19,20,20,19,23,19
2018년 05월,동(호),5697,43,104,127,149,90,224,262,417,170,258,517,288,238,180,278,380,388,95,262,174,224,188,177,236,228
,면적,450,4,9,13,13,8,18,20,34,13,19,35,22,19,15,22,29,28,7,21,15,17,19,16,19,16
2018년 06월,동(호),4830,69,96,133,107,61,153,206,311,146,235,457,229,179,163,244,309,287,121,248,166,233,180,129,192,176
,면적,381,5,8,13,9,5,11,15,26,11,17,30,18,14,13,20,23,20,9,19,13,18,19,13,17,13
2018년 07월,동(호),5852,66,82,156,143,66,198,214,407,159,276,567,337,206,179,309,370,403,112,254,239,329,180,183,211,206
,면적,462,5,6,15,11,6,15,16,32,12,20,38,27,16,14,24,27,30,8,20,20,26,20,18,18,15
2018년 08월,동(호),7687,64,94,147,166,85,272,256,512,223,380,745,374,245,323,461,558,536,194,319,284,313,262,256,310,308
,면적,603,5,7,15,13,7,20,20,42,17,27,50,31,19,26,36,40,39,15,25,24,26,26,22,26,23
2018년 09월,동(호),12395,127,118,207,490,220,409,366,686,316,733,1470,461,366,459,685,788,667,303,429,397,307,464,572,775,580
,면적,980,8,11,23,39,18,31,26,56,25,52,95,40,31,38,55,57,51,23,34,34,24,47,51,66,46
2018년 10월,동(호),10977,95,140,198,443,239,383,375,430,239,577,1485,339,263,324,553,639,529,228,311,267,282,509,615,884,630
,면적,891,9,13,22,36,20,29,28,35,19,42,97,28,21,27,48,50,40,18,24,23,21,52,60,78,50
2018년 11월,동(호),3736,35,53,96,131,77,144,153,187,88,202,444,146,123,108,177,184,226,105,147,101,118,153,159,229,150
,면적,299,3,5,12,11,7,10,11,15,7,15,30,12,10,9,15,13,16,8,10,7,8,17,15,20,11
2018년 12월,동(호),2380,36,44,56,80,58,96,97,125,53,135,263,108,79,66,97,127,132,68,72,49,78,82,112,169,98
,면적,183,3,3,6,6,5,6,7,10,4,10,18,8,6,5,8,9,9,5,5,4,6,8,11,13,7
2019년 01월,동(호),1889,27,21,21,56,34,123,74,92,42,117,219,100,63,43,86,95,109,64,57,37,77,65,89,83,95
,면적,139,2,2,2,5,3,6,5,7,3,8,14,7,4,3,6,6,7,5,4,3,5,7,9,7,6
2019년 02월,동(호),1624,24,22,27,37,29,90,64,83,33,88,152,92,114,70,67,56,87,46,52,55,55,49,76,79,77
,면적,115,2,2,3,3,2,5,4,6,3,6,10,7,6,4,5,4,6,3,3,4,3,5,7,7,5
2019년 03월,동(호),1813,30,32,34,40,38,81,74,111,45,87,176,103,68,50,87,103,116,53,78,38,63,46,74,91,95
,면적,133,2,3,3,3,3,5,5,8,3,6,11,8,5,3,7,7,8,4,5,3,4,5,7,7,7
2019년 04월,동(호),2469,31,40,66,57,54,82,92,101,57,132,231,114,92,86,137,133,158,88,90,60,88,68,159,162,91
,면적,184,2,3,8,4,4,6,6,8,5,9,14,8,6,6,12,8,10,7,5,5,6,7,13,15,6
2019년 05월,동(호),3432,27,45,90,97,78,103,123,179,58,137,283,111,97,103,179,168,279,81,122,97,108,147,242,295,183
,면적,255,2,4,10,7,7,7,8,12,4,9,18,8,7,7,15,11,13,6,9,8,7,14,21,26,13
2019년 06월,동(호),4470,46,57,89,342,87,125,111,167,69,154,414,110,130,126,255,214,344,83,208,110,143,206,341,377,162
,면적,331,3,4,9,20,8,9,8,13,5,10,25,8,10,9,20,15,16,6,15,9,11,20,31,35,12
2019년 07월,동(호),7009,65,84,146,268,178,205,189,305,112,294,692,150,215,269,406,318,288,154,317,229,206,363,568,682,306
,면적,545,5,7,14,21,14,15,13,23,8,20,43,11,16,21,33,23,20,11,23,18,14,34,54,59,23
2019년 08월,동(호),8586,73,99,190,452,236,284,212,387,136,281,751,204,260,364,431,337,320,140,435,320,243,496,703,771,461
,면적,677,6,8,19,35,20,21,15,30,10,20,49,16,20,28,35,24,24,10,29,26,17,48,66,68,35
2019년 09월,동(호),7096,60,73,150,378,199,264,222,419,124,241,659,219,319,267,296,314,334,141,293,251,188,310,452,506,417
,면적,562,5,6,15,30,17,20,16,32,9,17,45,16,24,21,25,23,24,9,23,21,14,31,42,43,33
2019년 10월,동(호),8274,70,108,138,323,198,320,299,482,148,337,809,288,281,306,416,415,408,225,326,311,241,330,480,538,477
,면적,641,6,9,14,25,17,23,22,37,11,24,52,22,21,24,33,31,29,16,24,25,18,32,43,45,37
2019년 11월,동(호),10955,94,156,212,542,275,408,306,584,198,403,1038,344,380,390,556,542,510,235,418,392,335,460,625,855,697
,면적,855,8,12,21,40,24,30,22,45,15,28,69,23,29,30,45,40,37,17,33,32,24,44,59,74,50
2019년 12월,동(호),14117,111,195,298,745,284,528,544,696,179,496,1291,396,522,608,749,696,632,207,546,606,412,610,863,1127,776
,면적,1100,9,17,31,57,24,38,29,55,13,35,80,31,38,47,61,52,48,16,42,50,31,59,80,100,57
2020년 01월,동(호),10491,95,167,249,431,141,439,297,679,370,475,1069,387,396,403,500,585,570,166,465,335,371,331,409,581,580
,면적,812,8,12,27,34,12,33,21,53,25,34,70,29,30,31,41,43,41,12,36,28,29,32,38,51,42
2020년 02월,동(호),9522,74,110,146,375,134,394,315,595,350,487,1150,414,339,303,402,672,650,163,441,320,312,235,279,397,465
,면적,709,6,9,13,29,11,29,23,46,27,35,72,32,25,24,31,46,47,12,33,25,23,21,24,32,33
2020년 03월,동(호),9152,73,105,107,294,93,388,418,522,265,653,1288,387,277,238,350,514,572,282,535,281,322,205,246,343,394
,면적,661,6,9,10,23,7,29,29,41,21,46,80,29,21,18,26,36,42,18,28,23,24,19,20,28,28
2020년 04월,동(호),3699,41,40,38,112,56,139,170,186,112,230,474,179,105,73,306,210,227,82,132,88,170,96,141,147,145
,면적,263,3,3,4,9,5,10,12,15,9,16,30,12,7,5,15,14,15,5,9,7,13,10,13,12,10
2020년 05월,동(호),4328,50,50,88,100,60,173,209,228,126,243,439,200,144,101,173,241,308,85,184,90,142,181,271,237,205
,면적,325,4,4,8,8,5,12,12,18,10,16,28,16,12,7,14,17,21,6,14,7,10,17,26,20,12
2020년 06월,동(호),11106,91,125,236,355,140,372,345,554,273,659,1374,419,385,301,497,694,684,176,416,342,405,369,524,741,629
,면적,853,7,10,25,28,13,29,24,43,21,45,86,33,30,24,40,48,49,13,32,27,31,36,46,64,48
2020년 07월,동(호),16002,123,174,238,682,267,610,467,915,367,876,1530,666,517,638,639,1297,844,289,621,641,458,603,673,1033,834
,면적,1229,11,15,23,55,22,46,34,71,28,60,99,54,40,47,51,93,63,21,48,53,34,55,56,87,64
2020년 08월,동(호),6880,59,81,145,274,128,259,229,338,107,314,537,292,245,272,350,594,326,118,282,315,171,365,315,393,371
,면적,537,5,7,14,22,11,19,16,25,8,22,36,24,19,21,29,43,24,8,23,25,11,35,28,33,29
2020년 09월,동(호),4795,48,73,115,203,93,190,144,187,87,200,394,177,186,184,215,387,273,105,191,187,117,261,235,274,269
,면적,376,4,6,11,16,8,14,10,15,7,14,26,14,14,15,17,28,19,7,14,16,9,26,21,23,21
2020년 10월,동(호),4320,45,66,106,121,75,177,152,172,135,183,403,175,177,183,160,319,231,59,218,166,147,224,206,229,191
,면적,323,4,5,10,10,7,12,10,13,9,12,26,13,13,14,12,23,16,4,15,14,11,20,18,19,14
2020년 11월,동(호),4725,85,75,161,181,75,165,95,203,80,195,362,157,197,206,188,288,343,77,184,174,120,271,358,260,225
,면적,354,4,6,14,15,6,12,6,15,5,14,23,12,14,16,15,22,20,5,14,14,9,25,29,23,16
2020년 12월,동(호),8764,86,98,191,328,140,321,238,349,159,396,829,268,310,325,353,513,488,279,388,285,252,518,629,595,426
,면적,665,8,8,19,26,12,24,16,26,12,27,51,21,22,26,28,39,33,14,29,23,18,46,56,51,33
2021년 01월,동(호),5945,50,77,121,202,103,310,170,272,135,285,632,234,181,201,285,406,300,98,254,237,182,308,335,317,250
,면적,444,4,6,12,16,8,18,12,20,10,18,38,17,14,15,22,29,20,7,20,19,14,29,29,27,19
2021년 02월,동(호),5435,53,112,109,193,98,208,156,287,106,279,568,179,164,218,273,324,295,119,245,182,167,274,327,245,254
,면적,405,4,6,10,16,8,15,10,21,8,20,35,14,13,17,20,22,19,8,19,15,12,26,29,20,18
2021년 03월,동(호),4495,56,58,117,133,74,144,200,282,132,202,376,149,138,137,187,263,290,122,181,131,155,258,273,220,217
,면적,334,4,4,14,11,6,10,14,21,8,14,23,11,10,10,15,17,19,8,13,10,10,23,24,17,15
2021년 04월,동(호),4194,89,49,392,138,70,147,167,188,68,164,377,127,183,117,175,221,223,100,167,117,117,201,236,172,189
,면적,347,5,4,78,12,6,10,11,14,5,10,22,9,11,8,13,14,14,6,12,9,8,18,21,14,12
2021년 05월,동(호),5090,45,80,139,169,64,153,152,263,118,236,512,180,159,186,228,311,270,108,220,170,160,344,347,292,184
,면적,379,4,6,18,14,6,10,11,19,7,15,30,13,11,14,17,21,18,7,16,13,11,34,30,24,12
2021년 06월,동(호),4240,31,49,95,125,65,158,182,196,94,203,444,166,159,136,174,338,382,90,147,140,121,197,201,182,165
,면적,300,4,3,9,10,5,10,13,15,7,13,27,12,11,10,12,23,22,6,10,11,8,18,15,14,11
2021년 07월,동(호),4646,45,56,93,165,69,197,209,283,154,199,442,182,138,145,185,366,244,89,157,161,140,223,313,216,175
,면적,340,3,4,10,13,5,14,13,21,9,14,28,13,10,11,14,25,16,6,11,13,9,21,26,17,12
2021년 08월,동(호),5054,48,54,92,167,91,177,173,350,118,183,373,189,174,169,171,354,271,281,207,253,173,220,380,218,168
,면적,366,4,4,9,13,7,13,12,23,9,13,23,14,13,12,13,26,18,22,15,14,12,20,29,18,11
2021년 09월,동(호),3874,33,54,73,166,70,125,130,264,85,126,301,161,145,153,147,252,201,91,189,140,139,167,269,217,176
,면적,287,2,4,7,13,5,9,9,19,7,8,19,11,11,12,11,18,13,7,13,11,9,14,22,18,13
2021년 10월,동(호),2839,43,33,58,98,47,125,104,155,40,94,194,112,119,113,100,143,145,70,107,93,126,122,314,166,118
,면적,208,2,2,6,7,4,8,7,11,3,7,13,8,8,8,8,10,10,5,8,7,8,12,25,12,8
2021년 11월,동(호),2305,33,19,35,79,45,93,71,106,28,78,128,185,61,70,81,125,109,58,133,73,80,122,289,87,117
,면적,160,2,1,3,6,3,6,5,7,2,5,8,11,4,5,6,7,7,4,7,5,5,11,23,7,7
2021년 12월,동(호),1634,25,20,35,48,25,56,52,78,16,46,87,79,54,57,55,79,90,24,71,51,44,91,318,64,69
,면적,117,1,1,4,4,2,3,3,6,1,3,6,5,4,4,4,5,6,1,4,4,3,8,26,5,4
2022년 01월,동(호),1281,25,20,15,28,20,37,48,41,18,26,55,84,27,69,51,95,146,19,51,40,46,72,136,57,55
,면적,85,1,1,1,2,1,2,3,3,1,2,3,5,2,4,4,6,8,1,3,3,3,6,11,4,4
2022년 02월,동(호),1404,15,13,15,35,16,51,40,40,19,29,64,50,28,46,32,54,64,18,44,39,46,50,484,62,50
,면적,97,1,1,1,3,2,3,3,3,1,2,4,3,2,3,2,3,3,1,3,3,3,5,36,5,3
2022년 03월,동(호),1236,22,20,23,30,25,68,44,45,14,32,96,61,42,45,31,69,69,27,61,44,54,111,97,60,46
,면적,78,1,1,2,2,2,4,3,3,1,2,5,3,3,3,2,4,4,1,4,3,3,6,8,5,3
2022년 04월,동(호),1624,25,29,44,47,33,64,52,67,20,67,161,55,48,69,61,80,94,42,74,59,54,116,120,79,64
,면적,116,2,2,5,3,3,5,3,5,1,4,9,4,3,5,4,5,6,3,5,4,3,11,10,6,4
2022년 05월,동(호),2372,29,39,74,82,52,103,179,93,39,66,147,92,80,93,86,100,120,52,108,89,82,177,168,116,106
,면적,165,2,3,8,6,4,6,8,7,3,5,9,7,5,6,7,6,7,3,6,7,5,16,14,9,7
2022년 06월,동(호),2014,18,26,34,55,27,48,54,396,19,41,87,61,49,59,51,68,77,29,52,192,60,274,131,57,49
,면적,122,1,2,4,5,3,3,3,18,1,3,5,4,3,4,4,4,5,1,4,6,3,19,11,4,3
2022년 07월,동(호),1028,11,6,19,28,15,50,29,41,17,32,73,50,26,38,31,52,61,25,48,21,31,63,179,53,29
,면적,69,0,0,2,2,1,2,2,3,1,2,5,3,2,2,2,3,3,1,4,1,2,6,13,4,1
2022년 08월,동(호),907,16,8,19,20,15,40,26,19,19,34,41,39,22,23,26,34,38,24,44,19,20,49,239,34,39
,면적,59,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,3,1,1,5,16,3,3
2022년 09월,동(호),856,14,14,19,27,16,40,34,41,9,26,45,42,19,21,31,41,44,18,42,34,21,37,151,45,25
,면적,54,1,1,1,2,1,2,2,3,0,2,2,3,1,1,2,2,2,1,2,2,1,3,9,4,2
2022년 10월,동(호),900,8,11,12,21,9,25,27,233,20,29,42,38,31,22,16,27,39,12,84,22,21,32,50,40,29
,면적,54,0,1,1,2,1,1,1,12,1,2,3,3,3,2,1,2,2,1,3,1,1,3,5,3,2
2022년 11월,동(호),761,5,15,8,15,10,37,21,45,8,21,43,25,17,17,24,43,37,145,32,17,14,43,37,46,36
,면적,44,0,1,0,1,1,2,1,2,1,1,3,1,1,1,2,3,2,4,2,1,1,3,3,4,2
2022년 12월,동(호),1001,14,8,21,20,53,32,21,53,80,36,62,45,21,38,30,39,30,16,80,20,13,45,94,78,52
,면적,59,1,0,2,1,2,2,1,3,2,2,4,3,1,3,2,3,2,1,4,2,1,3,5,6,4
2023년 01월,동(호),1161,7,14,11,31,27,58,26,134,21,38,95,47,36,100,35,55,41,13,37,31,22,31,70,98,83
,면적,75,0,1,1,2,2,4,2,7,1,2,6,3,2,4,3,4,2,1,2,2,1,3,6,8,6
2023년 02월,동(호),2286,17,32,28,79,45,105,61,153,35,99,176,81,166,83,105,106,71,22,98,59,39,83,128,233,182
,면적,159,1,3,3,6,3,6,4,10,3,6,11,5,9,5,8,7,5,2,6,4,2,8,10,18,14
2023년 03월,동(호),3234,31,31,30,120,50,128,66,157,71,104,206,357,114,122,122,164,123,60,182,114,77,136,205,265,199
,면적,225,2,3,3,9,4,9,4,11,5,7,12,17,8,9,9,11,8,4,12,8,6,12,16,21,14
2023년 04월,동(호),2981,22,41,46,109,53,147,71,161,51,87,180,138,114,122,144,168,140,41,192,109,88,131,186,242,198
,면적,220,2,3,4,8,5,10,5,11,4,6,12,10,8,9,10,11,9,3,14,8,5,12,17,19,15
2023년 05월,동(호),3711,34,62,52,165,66,151,99,217,67,118,264,147,120,176,147,171,160,53,189,128,95,178,260,338,254
,면적,274,3,4,5,12,5,11,6,15,5,8,16,11,9,13,11,12,11,4,14,9,7,15,22,28,19
2023년 06월,동(호),4136,32,64,60,168,84,196,143,179,125,105,270,142,150,181,165,222,151,63,197,132,288,175,293,295,256
,면적,303,3,4,6,13,7,15,8,13,6,7,17,11,12,14,13,16,10,4,15,10,17,15,25,23,19
2023년 07월,동(호),3804,32,65,66,189,64,169,107,192,71,105,268,140,124,183,161,170,149,62,293,147,99,195,270,291,192
,면적,283,2,5,6,14,5,12,6,14,5,7,18,11,9,13,13,12,11,5,17,11,7,18,23,24,14
2023년 08월,동(호),4091,36,63,59,202,66,146,75,203,170,120,320,169,172,188,198,209,152,62,184,156,121,198,291,277,254
,면적,299,3,5,6,15,5,11,5,15,6,8,20,13,12,14,15,13,11,4,13,12,9,19,25,21,18
2023년 09월,동(호),3845,46,66,64,182,89,159,87,192,76,129,288,149,172,163,188,184,151,57,194,155,116,199,236,290,213
,면적,294,4,5,7,15,7,11,6,14,6,8,18,11,13,12,15,13,11,4,15,12,9,19,20,24,15
2023년 10월,동(호),2983,37,43,69,133,61,107,93,168,40,90,231,107,108,106,132,156,145,50,152,104,93,137,251,208,162
,면적,223,3,3,7,11,5,7,7,13,3,6,14,8,8,8,11,11,10,3,11,8,7,13,18,17,12
2023년 11월,동(호),2417,32,61,64,105,48,112,75,127,92,77,207,96,75,84,129,138,105,42,119,86,62,109,134,135,103
,면적,178,2,4,7,9,5,6,4,9,5,5,13,7,6,6,11,9,7,3,8,6,4,10,12,12,7
2023년 12월,동(호),1790,20,33,39,76,39,69,52,130,30,56,142,65,56,68,89,105,85,31,72,63,55,72,119,135,89
,면적,133,1,3,4,6,3,5,3,10,2,4,9,5,4,5,7,7,6,2,6,4,3,7,10,11,7
