날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2008년 02월,동(호),5624,45,49,65,168,81,190,211,269,109,427,1007,152,200,213,188,306,298,147,245,176,206,184,205,206,277
,면적,399,3,3,5,13,7,15,14,20,8,28,63,12,15,15,13,20,20,10,19,14,15,16,15,16,20
2008년 03월,동(호),8971,67,63,99,267,155,308,392,392,150,725,1841,213,293,344,346,527,480,162,301,252,255,220,346,341,432
,면적,635,5,5,8,20,12,23,27,28,11,48,118,16,22,24,25,34,32,11,23,20,18,19,26,26,31
2008년 04월,동(호),11791,76,90,109,307,185,667,816,703,288,1370,1474,255,315,416,451,732,577,292,405,319,315,315,408,393,513
,면적,852,5,7,9,23,14,53,60,53,22,99,94,19,24,30,33,47,39,21,31,25,23,28,30,29,36
2008년 05월,동(호),7935,84,107,78,253,187,331,335,182,170,203,443,286,295,348,479,701,584,205,446,298,352,271,355,434,508
,면적,573,6,8,7,20,16,26,24,11,13,10,22,22,23,25,34,47,42,16,33,23,26,22,25,32,38
2008년 06월,동(호),7054,55,83,93,242,155,221,220,291,140,323,399,242,284,271,415,646,464,171,439,289,309,199,279,423,401
,면적,515,4,6,8,17,12,17,16,21,10,23,23,19,22,20,30,45,33,13,33,23,23,17,19,30,30
2008년 07월,동(호),5503,51,82,70,196,117,165,141,284,82,198,350,282,193,151,343,458,434,119,346,222,263,149,224,271,312
,면적,402,4,6,6,15,9,13,9,22,6,13,22,22,15,11,25,31,31,9,26,18,18,13,16,21,22
2008년 08월,동(호),3336,39,35,34,107,65,83,83,155,91,115,178,186,120,119,181,273,291,43,235,110,127,110,122,212,222
,면적,246,3,3,3,8,5,6,6,11,7,7,11,15,9,9,13,19,21,3,17,9,9,10,9,16,15
2008년 09월,동(호),2538,40,29,34,71,41,60,72,100,45,88,144,182,81,88,127,176,174,37,149,105,110,105,131,145,204
,면적,192,3,2,3,5,3,5,5,8,4,6,9,15,6,6,9,12,12,3,11,9,8,10,11,11,15
2008년 10월,동(호),2385,35,29,31,47,37,61,54,81,33,61,143,460,76,71,99,136,135,25,122,78,76,97,116,165,117
,면적,189,3,2,3,4,3,4,3,6,2,4,8,45,6,5,7,10,9,2,9,6,5,9,9,13,8
2008년 11월,동(호),1344,18,18,24,34,28,37,23,41,13,35,89,85,46,44,73,78,65,11,58,51,38,104,114,129,88
,면적,106,2,2,2,3,2,3,2,3,1,2,5,8,4,4,5,6,5,1,4,5,3,10,9,11,6
2008년 12월,동(호),1491,19,14,26,26,36,37,15,46,17,36,84,82,34,58,98,68,64,10,54,43,43,83,181,218,99
,면적,120,2,1,3,2,3,3,1,4,1,3,5,7,3,4,8,5,5,0,4,4,3,8,15,19,7
2009년 01월,동(호),2570,19,16,31,35,35,29,21,63,13,52,117,155,32,98,167,65,44,11,61,40,25,270,468,532,171
,면적,212,2,1,3,3,3,2,2,5,1,4,8,14,3,5,13,5,4,1,5,4,2,26,38,46,14
2009년 02월,동(호),4186,33,37,78,87,98,122,44,118,34,93,286,227,67,137,375,136,70,39,130,85,86,344,543,576,341
,면적,340,3,3,8,7,9,7,4,9,3,7,17,19,6,9,30,10,5,3,11,8,7,32,46,51,27
2009년 03월,동(호),5361,39,61,96,130,143,196,78,173,52,158,424,275,84,149,404,271,167,65,193,130,107,408,556,486,516
,면적,426,3,4,10,11,11,13,6,13,4,11,26,26,6,11,33,20,12,4,16,11,8,38,46,42,39
2009년 04월,동(호),7005,46,62,125,178,152,163,86,236,57,211,456,180,101,183,421,315,204,65,216,169,135,681,1025,828,710
,면적,568,4,4,14,14,13,12,6,18,5,14,29,15,8,13,35,23,15,5,17,15,10,66,87,72,54
2009년 05월,동(호),7348,56,91,144,232,189,188,158,255,82,261,665,180,124,280,483,381,277,76,359,225,183,489,596,542,832
,면적,587,4,7,14,19,16,14,11,20,6,18,43,16,10,21,38,28,22,5,30,18,14,49,50,46,65
2009년 06월,동(호),8504,86,89,153,253,202,204,159,279,96,329,788,161,174,256,471,465,324,68,384,232,211,878,833,770,639
,면적,671,7,7,15,21,17,16,12,22,7,23,49,14,13,19,37,33,23,5,33,20,17,80,67,65,49
2009년 07월,동(호),9182,66,81,132,313,210,215,211,326,120,432,1039,186,163,327,505,519,365,100,351,286,208,648,919,779,681
,면적,707,5,7,13,25,17,17,14,25,9,29,66,16,12,25,38,35,27,8,28,24,16,63,75,64,50
2009년 08월,동(호),8472,53,91,146,285,192,210,236,319,105,399,880,185,189,289,468,485,327,82,457,280,239,603,686,622,644
,면적,640,4,7,14,22,15,16,16,24,8,27,56,16,14,21,36,35,23,6,35,22,18,56,52,49,48
2009년 09월,동(호),9426,79,86,181,307,214,266,256,388,125,344,877,201,213,294,555,525,468,133,447,316,288,643,778,694,748
,면적,717,6,6,17,24,16,21,18,29,9,23,55,16,15,22,42,36,34,10,34,25,21,61,64,58,54
2009년 10월,동(호),7809,58,104,138,325,200,245,284,403,140,366,779,187,258,305,536,458,409,148,399,302,245,292,348,314,566
,면적,597,4,8,13,26,16,19,21,31,11,26,51,15,20,23,41,32,30,11,31,25,18,28,31,26,42
2009년 11월,동(호),4722,61,53,79,169,95,119,154,227,76,192,447,165,121,192,289,284,335,74,271,147,174,206,260,245,287
,면적,364,4,3,7,13,8,9,10,17,6,14,30,15,10,15,23,20,25,5,20,12,13,20,22,19,23
